humidity,nitrogen
16.3,15.9
14.9,15.8
14.6,18.9
13.6,31.8
12,26.1
8.7,3.2
15.6,7.4
40.7,7.4
38.5,11.3
29.2,18.1
26.4,22.8
17.6,8
18.7,4.7
16.3,6.9
18.1,9.2
13.8,18.4
12.7,13
12.9,8.7
37.6,1.7
32.3,7.7
22.8,17.5
10.8,6.4
12.2,5.1
11.4,20.8
10.8,10.4
10.1,5.1
19,8.2
17.3,12.1
16.6,5.5
27.9,4.6
25.3,8.8
40.1,6.2
33.9,9
18.9,14.6
12.8,24.9
10.3,16.6
7.3,17
12.2,28.8
35.4,6.4
36.9,12.4
21.9,3
32.4,2.9
46,6.2
38.1,13.4
20.3,22.6
14.4,4.3
16.8,2.1
21.9,9.2
30.5,7.2
27.5,14.6
12.5,17.1
13.6,13.7
35.4,6.1
33.4,6.5
16.5,3.1
16.2,4.3
16.5,5.6
14.8,12.4
12.5,6.7
19.6,5.9
19,8.2
34.4,1.4
36.9,6
22.5,7
17.5,8.3
12.1,8.4
10,9.1
11.1,8.5
11.7,4.5
19.5,6.3
14.8,9.8
11.4,14.3
23.3,11.4
35.6,6.2
39.9,4.6
28.9,1.2
17.2,1.5
29.2,3.3
50.5,1
42.6,10.2
20.4,14.7
9.6,5
9.9,4.3
9.5,7.2
9,8.5
10.1,11.3
12.5,16.2
9,23.3
9.2,6
27.4,4.5
41.7,9
30.1,14.3
20,11.1
20.8,6.6
22.1,16.8
27.9,6.3
27,4.1
17.6,17.2
15.3,26
16.8,28.6
16,24.3
25.7,15.1
39.5,7.5
21.9,16.8
22.2,12.7
13.8,16.4
12,11.9
14.8,14.2
13.8,23.4
17.6,8.8
16.2,12.4
16,16.1
11.4,16
15.8,6.4
24.1,2.2
15.8,8.2
18.5,8.3
15.9,9.1
32.3,7.9
37.7,5.2
23.8,11.7
11.7,3.9
23.8,6.9
28.2,4
20.6,5
16.1,4.9
16.4,15.2
14.9,26.7
14.4,21.4
10.9,6.9
11.5,4.5
10.8,12.2
29.6,4.7
41.3,4.3
42.3,11
23.2,10.2
9.9,12
10.4,9.4
8.9,11.7
9.2,15
12.3,10
12.1,12.7
7.9,11.8
31.1,3.5
26.3,5.2
12.2,2.9
15.6,1.8
18.7,5.7
15.1,4.3
23.8,2
51.4,3.6
27.7,5.2
10.4,11.9
9.9,15.4
14,10.4
23.1,4.5
14.8,12.1
12.7,6.3
12.1,4.2
20.5,4.5
25.9,3.8
30,5.1
24.2,9.8
23.1,7.5
16.9,9.1
10.4,5
12.1,6
20.4,3.9
18.2,5.4
13.4,5.1
11.9,8.4
12.7,3.1
28.8,2.5
27.2,8.5
20.8,9.8
20.7,8.6
9.2,4.6
13,3.9
13.2,7.7
17.7,1.6
30.2,2.5
36.7,6.9
38.4,10.3
34.3,17.2
22.2,26.9
17.8,23.7
8.6,7.3
16,15
10.3,10.1
9.4,13.9
12.1,23.8
11.5,11.2
16.4,4.4
45.2,3.2
30.8,9.3
24.8,13.1
24.6,10.7
22.2,4.4
20.9,11.8
20,7.2
25.4,2
16.3,9.4
12,16.6
14.8,23.8
16.7,16.2
15.6,8.6
27.3,7.6
27.5,3.1
30.6,7.6
27.5,7.5
26.4,6.2
12.6,11.9
13.1,17
11.1,12.4
9.5,6.3
9,6.4
12.3,10.6
16.1,14.8
14,20.5
12.7,9.3
17.7,6.8
18.3,2.9
13.9,6.3
27.1,13.8
15.1,14.6
11.5,4.8
10,3.9
10.8,9.5
8.2,18.9
6.9,14.1
6.8,6.9
10,8.2
16.9,4.4
22.3,6.6
21.3,5.4
24.5,10.1
18.6,19.8
12.5,24
33.7,4.6
26,9.2
20.7,7.2
17.2,9.1
14.8,3.1
14,3.8
12.8,4.8
12.5,3.7
14.8,9.4
12.9,11.1
14.4,9
12.4,6.2
10.8,17.4
9.4,10.9
7.2,11.4
7.9,12.3
9.2,3.5
12.5,3.1
15.5,2.3
14.5,9.9
9.6,11
9.6,11.4
7,10.8
6,9.9
6.7,12
22.2,1.7
39.5,5.6
26,8.4
12.7,6.1
19.9,9.8
8.6,14.7
7.8,15.2
8.3,7.6
7.7,7.6
7.9,9.9
7.8,7.7
7.3,11.5
18.1,11.4
18.4,8.2
27.6,7.4
42.2,7.4
31.3,9.9
22,12
16.8,8.2
27.6,6.4
27.4,7.9
37.6,9.9
44.2,11.6
57.2,2.4
46.2,1.2
21.6,2.5
29.2,2.6
49.1,2.3
32.8,3.2
29.5,5.4
31.8,17.6
35.4,10.8
48.1,6.6
31.8,7
19.6,11.4
15.2,6.9
14.6,13.6
32,4.5
35.2,11.7
12.5,10.6
11.3,5.5
20,3.4
29.4,2.1
29.7,14.2
15.7,19.9
15.4,4.1
16.2,16
17,17.9
21.1,7.8
22.7,9.1
14.1,10.3
9.5,6.9
8.2,2.3
13.2,5
21.4,14.6
37.8,7.9
28.3,9.7
12.2,18.8
13.7,4.6
39.6,2.5
32.6,7.8
16.3,12.6
11.1,6.6
15,1.8
30,6.5
43,4.3
37.8,6.6
20.9,11.2
18.5,6.1
12.8,10.3
10.1,5.6
9.4,7.5
16.4,5.5
14.2,8.2
9.8,12.9
9.4,10.4
9.4,14.6
9,8.6
10.5,8
16.1,7.5
25.3,5
29.1,6.3
54.9,3.9
46.7,5.5
49.9,1.4
43.4,6.9
27.4,14.8
17.8,10.2
17.1,4.4
13.1,3.5
14,5.9
10.3,6.3
18.1,3.8
17.7,7.4
9.4,9.7
13.9,16.6
13.9,19.2
11.5,13.6
10.9,3.8
14.1,3.4
15.8,6.9
25.5,6.7
28.5,12.9
68.1,7.1
64.7,8.4
54.4,16.4
36.3,4.9
32.4,11.3
70.7,8.3
55.9,14.1
48.9,17.7
47,20.8
61.8,7.9
61.7,10.3
39,13.8
47.6,16.4
35.2,18
42.1,16
69.6,16.9
39.6,9.5
40.1,15.2
36.3,8.8
22.8,16.3
20.9,15.2
22.9,13.1
20.9,14.7
19.1,11.5
28.1,5.1
25,10.7
17.2,13
17.1,10.3
18.6,20
14.2,10.4
17.1,6.4
